"","sector","rank","rank_change","profit.margin","num..of.employees","ceo_founder","ceo_woman","age","BS","MBA"
"1","Retailing",0,0.636986301369863,0.505287178880421,1,0,0,0.478260869565217,0,1
"2","Retailing",0.001001001001001,0.647260273972603,0.51400627379697,0.362712499244301,1,0,0.507246376811594,1,0
"3","Energy",0.002002002002002,0.633561643835616,0.5226640826051,0.0340230614436971,0,0,0.492753623188406,0,1
"4","Technology",0.003003003003003,0.633561643835616,0.629563062583719,0.0622509885456436,0,0,0.565217391304348,1,1
"5","Health Care",0.004004004004004,0.647260273972603,0.503554519662186,0.131798055318555,0,1,0.521739130434783,0,1
"6","Financials",0.005005005005005,0.63013698630137,0.702098658980701,0.177935488504506,0,0,1,1,0
"7","Health Care",0.00600600600600601,0.633561643835616,0.524706395955616,0.147707515037849,0,0,0.507246376811594,0,0
"8","Health Care",0.00700700700700701,0.633561643835616,0.486210011491743,0.031795737082996,0,0,0.391304347826087,0,0
"9","Health Care",0.00900900900900901,0.636986301369863,0.489320252110794,0.00974977147197503,0,0,0.550724637681159,0,0
"10","Technology",0.01001001001001,0.650684931506849,0.629428085608866,0.0540230705348169,0,0,0.391304347826087,0,1
"11","Health Care",0.012012012012012,0.815068493150685,0.508553635113937,0.0334775942533213,0,0,0.478260869565217,0,1
"12","Retailing",0.013013013013013,0.636986301369863,0.502288523974192,0.0915698500283416,0,0,0.681159420289855,0,0
"13","Energy",0.014014014014014,0.623287671232877,0.499583420400854,0.0218864164578361,0,0,0.550724637681159,1,0
"14","Health Care",0.015015015015015,0.636986301369863,0.49242911507363,0.0224773392474098,0,0,0.72463768115942,0,0
"15","Financials",0.016016016016016,0.64041095890411,0.658889399789423,0.116789071019374,0,0,0.623188405797101,0,1
"16","Technology",0.02002002002002,0.654109589041096,0.69673072958009,0.0654328804895023,0,0,0.463768115942029,0,1
"17","Energy",0.021021021021021,0.667808219178082,0.500374239521353,0.0276638231158995,0,0,0.826086956521739,0,0
"18","Financials",0.023023023023023,0.63013698630137,0.565608704517105,0.00338598758425763,0,0,0.521739130434783,0,0
"19","Financials",0.024024024024024,0.636986301369863,0.6492221886822,0.0945840108111597,0,0,0.579710144927536,0,0
"20","Retailing",0.025025025025025,0.64041095890411,0.554996532335643,0.188935743510418,0,0,0.594202898550725,0,0
"21","Energy",0.026026026026026,0.623287671232877,0.505067909741487,0.00656787952811633,0,0,0.521739130434783,0,0
"22","Health Care",0.028028028028028,0.650684931506849,0.517260748436175,0.0320684706781839,0,1,0.565217391304348,0,0
"23","Financials",0.029029029029029,0.633561643835616,0.613178466739021,0.118070464360765,0,0,0.492753623188406,0,1
"24","Financials",0.03003003003003,0.633561643835616,0.612784508449858,0.0908880160403718,0,1,0.463768115942029,1,1
"25","Energy",0.031031031031031,0.60958904109589,0.502028494858713,0.00462328899442669,0,0,0.521739130434783,0,0
"26","Technology",0.033033033033033,0.636986301369863,0.519937956009697,0.0749785563210783,1,0,0.492753623188406,0,0
"27","Health Care",0.034034034034034,0.643835616438356,0.610557970146135,0.0600691197841405,0,0,0.565217391304348,1,1
"28","Financials",0.035035035035035,0.636986301369863,0.53368484617057,0.0261919708138689,0,0,0.579710144927536,0,0
"29","Retailing",0.036036036036036,0.643835616438356,0.514475794438597,0.167253422692981,0,0,0.594202898550725,0,0
"30","Technology",0.037037037037037,0.636986301369863,0.568678999124509,0.174435407366262,0,0,0.536231884057971,0,0
"31","Financials",0.04004004004004,0.633561643835616,0.550967425191559,0.00310961754113391,0,0,0.521739130434783,0,0
"32","Health Care",0.041041041041041,0.667808219178082,0.498057943146056,0.0257046867904665,0,0,0.521739130434783,0,0
"33","Retailing",0.043043043043043,0.63013698630137,0.526183694279433,0.118161375559161,0,0,0.521739130434783,0,1
