CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Timothy J. McGrath,Timothy McGrath,PC Connection,822,Wholesalers,,no,no,,
Robert A. DiMuccio,Robert DiMuccio,Amica Mutual Insurance,823,Financials,,no,no,,
David M. Shaffer,David Shaffer,EnerSys,824,Industrials,,no,no,1936,84
John W. Lindsay,John Lindsay,Helmerich & Payne,825,Energy,,no,no,,
Mehran Assadi,Mehran Assadi,NLV Financial,826,Financials,,no,no,,
Stephen G. Kaniewski,Stephen Kaniewski,Valmont Industries,827,Materials,,no,no,,
John E. Heller,John Heller,PAE,828,Aerospace & Defense,,no,no,1969,51
W. Kent Taylor,W. Kent Taylor,Texas Roadhouse,829,"Hotels, Restaurants & Leisure",,yes,no,,
Bradley E. Hughes,Bradley Hughes,Cooper Tire & Rubber,830,Motor Vehicles & Parts,,no,no,1967,53
Michael J. Brown,Michael Brown,Euronet Worldwide,831,Business Services,,no,no,1941,79
Richard N. Barton,Richard Barton,Zillow Group,832,Technology,,yes,no,,
John W. Dietrich,John Dietrich,Atlas Air Worldwide Holdings,833,Transportation,,no,no,1982,38
Mark S. LaVigne,Mark LaVigne,Energizer Holdings,834,Household Products,,no,no,1984,36
Michael N. Mears,Michael Mears,Magellan Midstream Partners,835,Energy,,no,no,1951,69
Mark L. Schiller,Mark Schiller,Hain Celestial Group,836,"Food, Beverages & Tobacco",,no,no,,
Vincent L. Sadusky,Vincent Sadusky,Univision Communications,837,Media,,no,no,,
Mark J. Parrell,Mark Parrell,Equity Residential,838,Financials,,no,no,,
David S. Graziosi,David Graziosi,Allison Transmission Holdings,839,Motor Vehicles & Parts,,no,no,,
Marc C. Ganzi,Marc Ganzi,Colony Capital,840,Financials,,yes,no,,
Thomas T. Edman,Thomas Edman,TTM Technologies,841,Technology,,no,no,,
C. William Eccleshare,C. William Eccleshare,Clear Channel Outdoor Holdings,842,Business Services,,no,no,,
Carlos E. Alberini,Carlos Alberini,Guess,843,Retailing,,no,no,,
Mitchell E. Fadel,Mitchell Fadel,Rent-A-Center,844,Retailing,,no,no,1942,78
Strauss Zelnick,Strauss Zelnick,Take-Two Interactive Software,845,Media,,no,no,1957,63
Gerald Paul,Gerald Paul,Vishay Intertechnology,846,Technology,,no,no,,
Christopher Cartwright,Christopher Cartwright,TransUnion,847,Business Services,,no,no,,
Albert G. White III,Albert White III,Cooper,848,Health Care,,no,no,,
Ronald F. Clarke,Ronald Clarke,FleetCor Technologies,849,Business Services,,no,no,,
Gary G. Friedman,Gary Friedman,RH,850,Retailing,,no,no,,
Cynthia J. Warner,Cynthia Warner,Renewable Energy Group,851,Energy,,no,yes,,
Mitchell B. Lewis,Mitchell Lewis,BlueLinx Holdings,852,Wholesalers,,no,no,1998,22
Mark A. McFarland,Mark McFarland,California Resources,853,Energy,,no,no,1978,42
Robert Buck,Robert Buck,TopBuild,854,Engineering & Construction,,no,no,,
James C. Foster,James Foster,Charles River Laboratories International,855,Health Care,,no,no,,
Brian Lane,Brian Lane,Comfort Systems USA,856,Engineering & Construction,,no,no,,
Scott G. Stephenson,Scott Stephenson,Verisk Analytics,857,Business Services,,no,no,,
Michael J. Farrell,Michael Farrell,ResMed,858,Health Care,,no,no,1979,41
Liam J. Kelly,Liam Kelly,Teleflex,859,Health Care,,no,no,,
Stephen D. Westhoven,Stephen Westhoven,New Jersey Resources,860,Energy,,no,no,,
Michael Nierenberg,Michael Nierenberg,New Residential Investment,861,Financials,,no,no,,
Milan Galik,Milan Galik,Interactive Brokers Group,862,Financials,,no,no,,
Daniel P. Caruso,Daniel Caruso,Zayo Group Holdings,863,Telecommunications,,yes,no,1921,99
Andrea R. Owen,Andrea Owen,Herman Miller,864,Household Products,,no,yes,,
Eric J. Lindberg Jr.,Eric Lindberg Jr.,Grocery Outlet Holding,865,Food & Drug Stores,,no,no,,
Libby Wadle,Libby Wadle,J.Crew Group,866,Retailing,,no,yes,,
