CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Juan R. Luciano,Juan Luciano,Archer Daniels Midland,54,"Food, Beverages & Tobacco",no,no,no,1962,58
Vivek Sankaran,Vivek Sankaran,Albertsons,55,Food & Drug Stores,no,no,no,,
Kevin P. Hourican,Kevin Hourican,Sysco,56,Wholesalers,no,no,no,,
James D. Taiclet Jr.,James Taiclet Jr.,Lockheed Martin,57,Aerospace & Defense,no,no,no,,
Enrique J. Lores,Enrique Lores,HP,58,Technology,no,no,no,1965,55
Mackie McCrea,Mackie McCrea,Energy Transfer,59,Energy,no,no,no,,
David M. Solomon,David Solomon,Goldman Sachs Group,60,Financials,no,no,no,1962,58
James P. Gorman,James Gorman,Morgan Stanley,61,Financials,no,no,no,1958,62
D. James Umpleby III,D. James Umpleby III,Caterpillar,62,Industrials,no,no,no,,
Charles H. Robbins,Charles Robbins,Cisco Systems,63,Technology,no,no,no,1966,54
Albert Bourla,Albert Bourla,Pfizer,64,Health Care,no,no,no,,
Samuel N. Hazen,Samuel Hazen,HCA Healthcare,65,Health Care,no,no,no,,
Peter S. Zaffino,Peter Zaffino,American International Group,66,Financials,no,no,no,1967,53
Stephen J. Squeri,Stephen Squeri,American Express,67,Financials,no,no,no,1959,61
Edward H. Bastian,Edward Bastian,Delta Air Lines,68,Transportation,no,no,no,1957,63
Kenneth C. Frazier,Kenneth Frazier,Merck,69,Health Care,no,no,no,,
W. Douglas Parker,W. Douglas Parker,American Airlines Group,70,Transportation,no,no,no,1962,58
Thomas M. Rutledge,Thomas Rutledge,Charter Communications,71,Telecommunications,no,no,no,,
Thomas J. Wilson,Thomas Wilson,Allstate,72,Financials,no,no,no,1958,62
Theodore A. Mathas,Theodore Mathas,New York Life Insurance,73,Financials,no,no,no,,
Kirt A. Walker,Kirt Walker,Nationwide,74,Financials,no,no,no,,
Corie Barry,Corie Barry,Best Buy,75,Retailing,no,no,yes,,
J. Scott Kirby,J. Scott Kirby,United Airlines Holdings,76,Transportation,no,no,no,1967,53
David H. Long,David Long,Liberty Mutual Insurance Group,77,Financials,no,no,no,,
James R. Fitterling,James Fitterling,Dow,78,Chemicals,yes,no,no,,
Dean Banks,Dean Banks,Tyson Foods,79,"Food, Beverages & Tobacco",no,no,no,,
Ernie L. Herrman,Ernie Herrman,TJX,80,Retailing,no,no,no,,
Roger W. Ferguson Jr.,Roger Ferguson Jr.,TIAA,81,Financials,no,no,no,,
Safra A. Catz,Safra Catz,Oracle,82,Technology,no,no,yes,1961,59
Phebe N. Novakovic,Phebe Novakovic,General Dynamics,83,Aerospace & Defense,no,no,yes,,
John C. May,John May,Deere,84,Industrials,no,no,no,1977,43
John J. Donahoe II,John Donahoe II,Nike,85,Apparel,no,no,no,1960,60
Susan Patricia Griffith,Susan Patricia Griffith,Progressive,86,Financials,no,no,yes,,
Randall T. Jones Sr.,Randall Jones Sr.,Publix Super Markets,87,Food & Drug Stores,no,no,no,1990,30
James R. Quincey,James Quincey,Coca-Cola,88,"Food, Beverages & Tobacco",no,no,no,1965,55
Roger W. Crandall,Roger Crandall,Massachusetts Mutual Life,89,Financials,no,no,no,,
Richard T. Hume,Richard Hume,Tech Data,90,Wholesalers,no,no,no,,
Michael J. Kasbar,Michael Kasbar,World Fuel Services,91,Energy,no,no,no,,
Darius E. Adamczyk,Darius Adamczyk,Honeywell International,92,Industrials,no,no,no,,
Ryan M. Lance,Ryan Lance,ConocoPhillips,93,Energy,no,no,no,,
Wayne Peacock,Wayne Peacock,USAA,94,Financials,no,no,no,,
Christopher M. Crane,Christopher Crane,Exelon,95,Energy,no,no,no,,
Kathy J. Warden,Kathy Warden,Northrop Grumman,96,Aerospace & Defense,no,no,yes,,
Richard D. Fairbank,Richard Fairbank,Capital One Financial,97,Financials,no,yes,no,1950,70
Wilfred C.W. Chiang,Wilfred Chiang,Plains GP Holdings,98,Energy,no,no,no,,
Richard A. Gonzalez,Richard Gonzalez,AbbVie,99,Health Care,no,no,no,,
Sean O'Connor,Sean O'Connor,StoneX Group,100,Financials,no,no,no,,
A. James Teague ,A. James Teague ,Enterprise Products Partners,101,Energy,no,no,no,1998,22
John E. Schlifske,John Schlifske,Northwestern Mutual,102,Financials,no,no,no,,
Michael F. Roman,Michael Roman,3M,103,Chemicals,no,no,no,,
Robert B. Ford,Robert Ford,Abbott Laboratories,104,Health Care,no,no,no,,
Jay D. Debertin,Jay Debertin,CHS,105,"Food, Beverages & Tobacco",no,no,no,,
Alan D. Schnitzer,Alan Schnitzer,Travelers Cos.,106,Financials,no,no,no,1965,55
André Calantzopoulos,André Calantzopoulos,Philip Morris International,107,"Food, Beverages & Tobacco",no,no,no,1957,63
Roy A. Azevedo,Roy Azevedo,Raytheon,108,Aerospace & Defense,no,no,no,,
Antonio F. Neri,Antonio Neri,Hewlett Packard Enterprise,109,Technology,no,no,no,,
Michael J. Long,Michael Long,Arrow Electronics,110,Wholesalers,no,no,no,1961,59
Robert M. Bakish,Robert Bakish,ViacomCBS,111,Media,no,no,no,1963,57
Todd J. Vasos,Todd Vasos,Dollar General,112,Retailing,no,no,no,,
Andrew J. Cecere,Andrew Cecere,U.S. Bancorp,113,Financials,no,no,no,,
Kevin R. Johnson,Kevin Johnson,Starbucks,114,"Hotels, Restaurants & Leisure",no,no,no,1960,60
Giovanni Caforio,Giovanni Caforio,Bristol-Myers Squibb,115,Health Care,no,no,no,,
Pietro Satriano,Pietro Satriano,US Foods Holding,116,Wholesalers,no,no,no,,
Dirk Van de Put,Dirk Van de Put,Mondelez International,117,"Food, Beverages & Tobacco",no,no,no,,
R. Preston Feight,R. Preston Feight,Paccar,118,Industrials,no,no,no,,
Marc N. Casper,Marc Casper,Thermo Fisher Scientific,119,Technology,no,no,no,,
Jeffrey Gennette,Jeffrey Gennette,Macy&#8217;s,120,Retailing,no,no,no,,
Mark T. Mondello,Mark Mondello,Jabil,121,Technology,no,no,no,,
Miguel Patricio,Miguel Patricio,Kraft Heinz,122,"Food, Beverages & Tobacco",no,no,no,1967,53
Lynn J. Good,Lynn Good,Duke Energy,123,Energy,no,no,yes,1981,39
Elon Musk,Elon Musk,Tesla,124,Motor Vehicles & Parts,no,yes,no,1971,49
Thomas J. Nimbley,Thomas Nimbley,PBF Energy,125,Energy,no,no,no,,
Steven M. Mollenkopf,Steven Mollenkopf,Qualcomm,126,Technology,no,no,no,,
H. Michael Krimbill,H. Michael Krimbill,NGL Energy Partners,127,Energy,no,no,no,,
Robert E. Sulentic,Robert Sulentic,CBRE Group,128,Financials,no,no,no,,
Lorenzo Simonelli,Lorenzo Simonelli,Baker Hughes,129,Energy,yes,no,no,,
Dennis Polk,Dennis Polk,Synnex,130,Wholesalers,no,no,no,,
Michael A. Witynski,Michael Witynski,Dollar Tree,131,Retailing,no,no,no,,
N. Thomas Linebarger,N. Thomas Linebarger,Cummins,132,Industrials,no,no,no,,
Steven L. Spinner,Steven Spinner,United Natural Foods,133,Wholesalers,no,no,no,,
Sanjay Mehrotra,Sanjay Mehrotra,Micron Technology,134,Technology,no,no,no,,
Robert A. Bradway,Robert Bradway,Amgen,135,Health Care,no,no,no,,
Roger S. Penske,Roger Penske,Penske Automotive Group,136,Retailing,no,no,no,1937,83
Alfred F. Kelly Jr.,Alfred Kelly Jr.,Visa,137,Business Services,no,no,no,1958,62
Hock E. Tan,Hock Tan,Broadcom,138,Technology,no,no,no,,
Leon J. Topalian,Leon Topalian,Nucor,139,Materials,no,no,no,,
Daniel P. O'Day,Daniel O'Day,Gilead Sciences,140,Health Care,no,no,no,1957,63
Gary C. Kelly,Gary Kelly,Southwest Airlines,141,Transportation,no,no,no,1955,65
Jeffrey A. Miller,Jeffrey Miller,Halliburton,142,Energy,no,no,no,1970,50
Jeffrey K. Storey,Jeffrey Storey,Lumen Technologies,143,Telecommunications,no,no,no,1960,60
Mark S. Sutton,Mark Sutton,International Paper,144,Materials,no,no,no,,
David A. Ricks,David Ricks,Eli Lilly,145,Health Care,no,no,no,1955,65
Daniel P. Amos,Daniel Amos,Aflac,146,Financials,no,no,no,,
Richard Beckwitt,Richard Beckwitt,Lennar,147,Engineering & Construction,no,no,no,,
Vicki A. Hollub,Vicki Hollub,Occidental Petroleum,148,Energy,no,no,yes,1960,60
Lance M. Fritz,Lance Fritz,Union Pacific,149,Transportation,no,no,no,,
Heyward Donigan,Heyward Donigan,Rite Aid,150,Food & Drug Stores,no,no,yes,,
William S. Demchak,William Demchak,PNC Financial Services Group,151,Financials,no,no,no,1962,58
Edward D. Breen,Edward Breen,DuPont,152,Chemicals,no,no,no,1956,64
Thomas A. Fanning,Thomas Fanning,Southern Company,153,Energy,no,no,no,,
Michael J. Jackson,Michael Jackson,AutoNation,154,Retailing,no,no,no,,
Michael J. Salvino,Michael Salvino,DXC Technology,155,Technology,no,no,no,,
Christopher J. Kempczinski,Christopher Kempczinski,McDonald&#8217;s,156,"Hotels, Restaurants & Leisure",no,no,no,1968,52
Anthony Capuano,Anthony Capuano,Marriott International,157,"Hotels, Restaurants & Leisure",no,no,no,1952,68
Jonas Prising,Jonas Prising,ManpowerGroup,158,Business Services,no,no,no,,
Thomas P. Gibbons,Thomas Gibbons,Bank of New York Mellon,159,Financials,no,no,no,,
Christopher J. Swift,Christopher Swift,Hartford Financial Services Group,160,Financials,no,no,no,,
Rainer M. Blair,Rainer Blair,Danaher,161,Health Care,no,no,no,,
Marc R. Bitzer,Marc Bitzer,Whirlpool,162,Industrials,no,no,no,1965,55
W. Troy Rudd,W. Troy Rudd,AECOM,163,Engineering & Construction,no,no,no,,
Reed Hastings,Reed Hastings,Netflix,164,Media,no,yes,no,1960,60
Michelle D. Gass,Michelle Gass,Kohl&#8217;s,165,Retailing,no,no,yes,,
Raymond E. Scott,Raymond Scott,Lear,166,Motor Vehicles & Parts,no,no,no,1994,26
William F. Gifford Jr.,William Gifford Jr.,Altria Group,167,"Food, Beverages & Tobacco",no,no,no,1946,74
George L. Holm,George Holm,Performance Food Group,168,Wholesalers,no,no,no,,
Philip R. Gallagher,Philip Gallagher,Avnet,169,Wholesalers,no,no,no,,
Margaret M. Keane,Margaret Keane,Synchrony Financial,170,Financials,no,no,yes,1959,61
Paul D. Donahue,Paul Donahue,Genuine Parts,171,Wholesalers,no,no,no,1966,54
James L. Robo,James Robo,NextEra Energy,172,Energy,no,no,no,,
William D. Nash,William Nash,CarMax,173,Retailing,no,no,no,1942,78
Ronald A. Rittenmeyer,Ronald Rittenmeyer,Tenet Healthcare,174,Health Care,no,no,no,,
Michael D. Hsu,Michael Hsu,Kimberly-Clark,175,Household Products,no,no,no,,
Lal L. Karsanbhai,Lal Karsanbhai,Emerson Electric,176,Industrials,no,no,no,,
David B. Sewell,David Sewell,WestRock,177,Materials,no,no,no,1977,43
Christine A. Leahy,Christine Leahy,CDW,178,Technology,no,no,yes,1968,52
Christian Ulbrich,Christian Ulbrich,Jones Lang LaSalle (JLL),179,Financials,no,no,no,,
John G. Morikis,John Morikis,Sherwin-Williams,180,Chemicals,no,no,no,,
David E. Constable,David Constable,Fluor,181,Engineering & Construction,no,no,no,,
Daniel H. Schulman,Daniel Schulman,PayPal Holdings,182,Business Services,no,no,no,1958,62
David V. Auld,David Auld,D.R. Horton,183,Engineering & Construction,no,no,no,,
Michael C. Jennings,Michael Jennings,HollyFrontier,184,Energy,no,no,no,1988,32
Brian J. Kesseler,Brian Kesseler,Tenneco,185,Motor Vehicles & Parts,no,no,no,,
William R. Thomas,William Thomas,EOG Resources,186,Energy,no,no,no,,
Thomas E. Polen,Thomas Polen,BD,187,Health Care,no,no,no,,
Dennis R. Glass,Dennis Glass,Lincoln National,188,Financials,no,no,no,1949,71
Patricia K. Poppe,Patricia Poppe,PG&E,189,Energy,no,no,yes,1969,51
Marc R. Benioff,Marc Benioff,Salesforce,190,Technology,no,yes,no,1964,56
Michael Miebach,Michael Miebach,Mastercard,191,Business Services,no,no,no,,
Jeffrey L. Harmening,Jeffrey Harmening,General Mills,192,"Food, Beverages & Tobacco",no,no,no,1989,31
Joseph M. Zubretsky,Joseph Zubretsky,Molina Healthcare,193,Health Care,no,no,no,,
Brian Humphries,Brian Humphries,Cognizant Technology Solutions,194,Technology,no,no,no,,
Daniel S. Glaser,Daniel Glaser,Marsh & McLennan,195,Financials,no,no,no,1968,52
Bradley S. Jacobs,Bradley Jacobs,XPO Logistics,196,Transportation,no,no,no,,
Robert M. Blue,Robert Blue,Dominion Energy,197,Energy,no,no,no,,
David V. Goeckeler,David Goeckeler,Western Digital,198,Technology,no,no,no,,
Sonia Syngal,Sonia Syngal,Gap,199,Retailing,no,no,yes,,
John J. Zillmer,John Zillmer,Aramark,200,Business Services,no,no,no,,
Daniel J. Houston,Daniel Houston,Principal Financial,201,Financials,no,no,no,1989,31
Barbara Rentler,Barbara Rentler,Ross Stores,202,Retailing,no,no,yes,1948,72
Noel R. Wallace,Noel Wallace,Colgate-Palmolive,203,Household Products,no,no,no,,
Nicholas K. Akins,Nicholas Akins,American Electric Power,204,Energy,no,no,no,,
Erik B. Nordstrom,Erik Nordstrom,Nordstrom,205,Retailing,no,no,no,,
Steven J. Demetriou,Steven Demetriou,Jacobs Engineering Group,206,Engineering & Construction,no,no,no,1973,47
James C. Fish Jr.,James Fish Jr.,Waste Management,207,Business Services,no,no,no,,
Robert C. Biesterfeld Jr.,Robert Biesterfeld Jr.,C.H. Robinson Worldwide,208,Transportation,no,no,no,,
Michael H. McGarry,Michael McGarry,PPG Industries,209,Chemicals,no,no,no,1965,55
Glenn D. Fogel,Glenn Fogel,Booking Holdings,210,Technology,no,no,no,,
John D. Wren,John Wren,Omnicom Group,211,Business Services,no,no,no,,
James S. Tisch,James Tisch,Loews,212,Financials,no,no,no,1953,67
Christophe Beck,Christophe Beck,Ecolab,213,Chemicals,no,no,no,1972,48
Kevin A. Lobo,Kevin Lobo,Stryker,214,Health Care,no,no,no,,
Fabrizio Freda,Fabrizio Freda,Estée Lauder,215,Household Products,no,no,no,,
Richard J. Kramer,Richard Kramer,Goodyear Tire & Rubber,216,Motor Vehicles & Parts,no,no,no,1963,57
Kelly S. King,Kelly King,Truist Financial,217,Financials,no,no,no,,
Gary E. Dickerson,Gary Dickerson,Applied Materials,218,Technology,no,no,no,1956,64
Laurence D. Fink,Laurence Fink,BlackRock,219,Financials,no,no,no,1952,68
James M. Loree,James Loree,Stanley Black & Decker,220,Household Products,no,no,no,,
Richard C. Adkerson,Richard Adkerson,Freeport-McMoRan,221,Energy,no,no,no,,
Richard K. Templeton,Richard Templeton,Texas Instruments,222,Technology,no,no,no,,
Michel Vounatsos,Michel Vounatsos,Biogen,223,Health Care,no,no,no,,
Thomas L. Williams,Thomas Williams,Parker-Hannifin,224,Industrials,no,no,no,,
Anna Manning,Anna Manning,Reinsurance Group of America,225,Financials,no,no,yes,,
John C. Plant,John Plant,Howmet Aerospace,226,Aerospace & Defense,no,no,no,,
Carlos A. Rodriguez,Carlos Rodriguez,Automatic Data Processing,227,Business Services,no,no,no,1965,55
Dara Khosrowshahi,Dara Khosrowshahi,Uber Technologies,228,Technology,yes,no,no,1969,51
E. Scott Santi,E. Scott Santi,Illinois Tool Works,229,Industrials,no,no,no,,
Javier J. Rodriguez,Javier Rodriguez,DaVita,230,Health Care,no,no,no,,
Roger C. Hochschild,Roger Hochschild,Discover Financial Services,231,Financials,no,no,no,,
Beth E. Ford,Beth Ford,Land O&#8217;Lakes,232,"Food, Beverages & Tobacco",no,no,yes,,
Steven E. Rendle,Steven Rendle,VF,233,Apparel,no,no,no,,
James C. Collins Jr.,James Collins Jr.,Corteva,234,"Food, Beverages & Tobacco",yes,no,no,,
Sheldon G. Adelson,Sheldon Adelson,Las Vegas Sands,235,"Hotels, Restaurants & Leisure",no,yes,no,,
Scott C. Donnelly,Scott Donnelly,Textron,236,Aerospace & Defense,no,no,no,1961,59
Steven A. Cahillane,Steven Cahillane,Kellogg,237,"Food, Beverages & Tobacco",no,no,no,,
Andrew J. McMahon,Andrew McMahon,Guardian Life Ins. Co. of America,238,Financials,no,no,no,,
Michael A. George,Michael George,Qurate Retail,239,Retailing,no,no,no,,
Scott E. McPherson,Scott McPherson,Core-Mark Holding,240,Wholesalers,no,no,no,,
Tim L. Hingtgen,Tim Hingtgen,Community Health Systems,241,Health Care,no,no,no,,
Steven J. Kean,Steven Kean,Kinder Morgan,242,Energy,no,no,no,,
Lee Delaney,Lee Delaney,BJ's Wholesale Club,243,Retailing,no,no,no,,
Ronald P. O&#039;Hanley,Ronald O&#039;Hanley,State Street,244,Financials,no,no,no,,
James M. Cracchiolo,James Cracchiolo,Ameriprise Financial,245,Financials,no,no,no,,
Eric Slifka,Eric Slifka,Global Partners,246,Wholesalers,no,no,no,,
David B. Burritt,David Burritt,United States Steel,247,Materials,no,no,no,1955,65
Andrew Menslow,Andrew Menslow,L Brands,248,Retailing,no,no,no,,
William J. Hornbuckle IV,William Hornbuckle IV,MGM Resorts International,249,"Hotels, Restaurants & Leisure",no,no,no,,
William M. Brown,William Brown,L3Harris Technologies,250,Aerospace & Defense,no,no,no,,
W. Erik Carlson,W. Erik Carlson,DISH Network,251,Telecommunications,no,no,no,,
Bryan B. DeBoer,Bryan DeBoer,Lithia Motors,252,Retailing,no,no,no,,
Gerardo Norcia,Gerardo Norcia,DTE Energy,253,Energy,no,no,no,,
Jack C. Salzwedel,Jack Salzwedel,American Family Insurance Group,254,Financials,no,no,no,,
Jeffrey J. Dailey,Jeffrey Dailey,Farmers Insurance Exchange,255,Financials,no,no,no,,
Timothy Cawley,Timothy Cawley,Consolidated Edison,256,Energy,no,no,no,,
Dominick P. Zarcone,Dominick Zarcone,LKQ,257,Wholesalers,no,no,no,,
Jeffrey W. Martin,Jeffrey Martin,Sempra Energy,258,Energy,no,no,no,,
Pedro J. Pizarro,Pedro Pizarro,Edison International,259,Energy,no,no,no,,
David J. Lesar,David Lesar,CenterPoint Energy,260,Energy,no,no,no,1953,67
Earl C. Austin Jr.,Earl Austin Jr.,Quanta Services,261,Engineering & Construction,no,no,no,,
R. Andrew Clyde,R. Andrew Clyde,Murphy USA,262,Retailing,no,no,no,1963,57
Peter M. Kern,Peter Kern,Expedia Group,263,Retailing,no,no,no,,
Earl J. Hesterberg,Earl Hesterberg,Group 1 Automotive,264,Retailing,no,no,no,1953,67
Mark J. Tritton,Mark Tritton,Bed Bath & Beyond,265,Retailing,no,no,no,,
Richard P. McKenney,Richard McKenney,Unum Group,266,Financials,no,no,no,1972,48
James M. Foote,James Foote,CSX,267,Transportation,no,no,no,,
William C. Rhodes III,William Rhodes III,AutoZone,268,Retailing,no,no,no,,
James T. Morris,James Morris,Pacific Life,269,Financials,no,no,no,,
Curtis A. Morgan,Curtis Morgan,Vistra Energy,270,Energy,no,no,no,,
Walter W. Bettinger II,Walter Bettinger II,Charles Schwab,271,Financials,no,no,no,,
Timothy J. Donahue,Timothy Donahue,Crown Holdings,272,Materials,no,no,no,,
Jeffrey J. Brown,Jeffrey Brown,Ally Financial,273,Financials,no,no,no,1968,52
Adam H. Schechter,Adam Schechter,Laboratory Corp. of America (Labcorp),274,Health Care,no,no,no,,
Michael Rapino,Michael Rapino,Live Nation Entertainment,275,Media,no,no,no,,
Benjamin G.S. Fowke III,Benjamin Fowke III,Xcel Energy,276,Energy,no,no,no,,
Wendell P. Weeks,Wendell Weeks,Corning,277,Industrials,no,no,no,,
D.G. Macpherson,D.G. Macpherson,W.W. Grainger,278,Wholesalers,no,no,no,,
John A. Hayes,John Hayes,Ball,279,Materials,no,no,no,1993,27
Lachlan K. Murdoch,Lachlan Murdoch,Fox,280,Media,yes,no,no,1971,49
Marc. D Miller,Marc. Miller,Universal Health Services,281,Health Care,no,no,no,1973,47
,,Baxter International,282,Health Care,no,no,no,,
James A. Squires,James Squires,Norfolk Southern,283,Transportation,no,no,no,,
Persio V. Lisboa,Persio Lisboa,Navistar International,284,Industrials,no,no,no,,
Shantanu Narayen,Shantanu Narayen,Adobe,285,Technology,no,no,no,1963,57
Stanley Shashoua,Stanley Shashoua,J.C. Penney,286,Retailing,no,no,no,,
David M. Zaslav,David Zaslav,Discovery,287,Media,no,no,no,1960,60
Robert J. Gamgort,Robert Gamgort,Keurig Dr Pepper,288,"Food, Beverages & Tobacco",no,no,no,,
Roger A. Krone,Roger Krone,Leidos Holdings,289,Technology,no,no,no,1956,64
Ari Bousbib,Ari Bousbib,IQVIA Holdings,290,Health Care,no,no,no,,
James D. Hoffman,James Hoffman,Reliance Steel & Aluminum,291,Materials,no,no,no,,
Jensen Huang,Jensen Huang,Nvidia,292,Technology,no,yes,no,1963,57
Leo P. Denault,Leo Denault,Entergy,293,Energy,no,no,no,,
Steven E. Strah,Steven Strah,FirstEnergy,294,Energy,no,no,no,,
Jamie Iannone,Jamie Iannone,eBay,295,Technology,no,no,no,,
Michael F. Mahoney,Michael Mahoney,Boston Scientific,296,Health Care,no,no,no,,
Gerry P. Smith,Gerry Smith,ODP,297,Retailing,no,no,no,1939,81
Gavin D.K. Hattersley,Gavin Hattersley,Molson Coors Beverage,298,"Food, Beverages & Tobacco",no,no,no,,
Mark D. Millett,Mark Millett,Steel Dynamics,299,Materials,no,yes,no,,
James T. Blackledge,James Blackledge,Mutual of Omaha Insurance,300,Financials,no,no,no,,
David Bruton Smith,David Bruton Smith,Sonic Automotive,301,Retailing,no,no,no,,
Roy C. Harvey,Roy Harvey,Alcoa,302,Materials,no,no,no,1905,115
Gary A. Norcross,Gary Norcross,Fidelity National Information Services,303,Business Services,no,no,no,,
Stanley M. Bergman,Stanley Bergman,Henry Schein,304,Health Care,no,no,no,,
Donald W. Slager,Donald Slager,Republic Services,305,Business Services,no,no,no,,
Gregory B. Maffei,Gregory Maffei,Liberty Media,306,Media,no,no,no,1960,60
Rick Lanoha,Rick Lanoha,Peter Kiewit Sons&#8217;,307,Engineering & Construction,no,no,no,,
Philippe Krakowsky,Philippe Krakowsky,Interpublic Group,308,Business Services,no,no,no,,
Ryan R. Marshall,Ryan Marshall,PulteGroup,309,Engineering & Construction,no,no,no,,
,,AES,310,Energy,no,no,no,,
Frank J. Bisignano,Frank Bisignano,Fiserv,311,Business Services,no,no,no,1959,61
Frederic B. Lissalde,Frederic Lissalde,BorgWarner,312,Motor Vehicles & Parts,no,no,no,1967,53
Terry K. Spencer,Terry Spencer,Oneok,313,Energy,no,no,no,,
Gregory D. Johnson,Gregory Johnson,O&#8217;Reilly Automotive,314,Retailing,no,no,no,,
Alan B. Colberg,Alan Colberg,Assurant,315,Financials,no,no,no,,
Ravichandra K. Saligram,Ravichandra Saligram,Newell Brands,316,Household Products,no,no,no,,
Ralph Izzo,Ralph Izzo,Public Service Enterprise Group,317,Energy,no,no,no,1978,42
Robert J. Thomson,Robert Thomson,News Corp.,318,Media,no,no,no,1961,59
John B. Hill III,John Hill III,Calpine,319,Energy,no,no,no,,
Jeffrey S. Tagsold,Jeffrey Tagsold,Auto-Owners Insurance,320,Financials,no,no,no,,
Jeffrey S. Lorberbaum,Jeffrey Lorberbaum,Mohawk Industries,321,Household Products,no,no,no,1954,66
Stefan Larsson,Stefan Larsson,PVH,322,Apparel,no,no,no,1974,46
Mark A. Clouse,Mark Clouse,Campbell Soup,322,"Food, Beverages & Tobacco",no,no,no,1968,52
Mauricio Gutierrez,Mauricio Gutierrez,NRG Energy,324,Energy,no,no,no,,
Greg D. Carmichael,Greg Carmichael,Fifth Third Bancorp,325,Financials,no,no,no,,
Paul E. Stone,Paul Stone,Hertz Global Holdings,326,Retailing,no,no,no,1969,51
Dexter G. Goei,Dexter Goei,Altice USA,327,Telecommunications,no,no,no,1971,49
Thomas R. Palmer,Thomas Palmer,Newmont,328,Energy,no,no,no,,
Jack A. Fusco,Jack Fusco,Cheniere Energy,329,Energy,no,no,no,1930,90
Thomas R. Greco,Thomas Greco,Advance Auto Parts,330,Retailing,no,no,no,,
Timothy M. Archer,Timothy Archer,Lam Research,331,Technology,no,no,no,,
Edward A. Pesicka,Edward Pesicka,Owens & Minor,332,Health Care,no,no,no,,
Mark Pearson,Mark Pearson,Equitable Holdings,333,Financials,yes,no,no,,
Sean M. Connolly,Sean Connolly,Conagra Brands,334,"Food, Beverages & Tobacco",no,no,no,1942,78
Thomas S. Gayner,Thomas Gayner,Markel,335,Financials,no,no,no,,
Penny Pennington,Penny Pennington,Jones Financial (Edward Jones),336,Financials,no,no,yes,1963,57
James P. Snee,James Snee,Hormel Foods,337,"Food, Beverages & Tobacco",no,no,no,,
Christopher J. Nassetta,Christopher Nassetta,Hilton Worldwide Holdings,338,"Hotels, Restaurants & Leisure",no,no,no,,
David C. Jukes,David Jukes,Univar Solutions,339,Wholesalers,no,no,no,,
Matthew Flannery,Matthew Flannery,United Rentals,340,Business Services,no,no,no,,
Scott D. Sheffield,Scott Sheffield,Pioneer Natural Resources,341,Energy,no,no,no,,
Ezra Uzi Yemin,Ezra Uzi Yemin,Delek US Holdings,342,Energy,no,no,no,1968,52
Mark J. Costa,Mark Costa,Eastman Chemical,343,Chemicals,no,no,no,,
Anthony J. Guzzi,Anthony Guzzi,EMCOR Group,344,Engineering & Construction,no,no,no,,
Joseph A. Ferraro,Joseph Ferraro,Avis Budget Group,345,Retailing,no,no,no,,
John N. Roberts III,John Roberts III,J.B. Hunt Transport Services,346,Transportation,no,no,no,1955,65
John G. Visentin,John Visentin,Xerox Holdings,347,Technology,no,no,no,,
Niraj S. Shah,Niraj Shah,Wayfair,348,Retailing,no,yes,no,,
Henry R. Kravis,Henry Kravis,KKR,349,Financials,yes,no,no,1944,76
Eric P. Hansotia,Eric Hansotia,AGCO,350,Industrials,no,no,no,,
Weston M. Hicks,Weston Hicks,Alleghany,351,Financials,no,no,no,1957,63
Keith Cozza,Keith Cozza,Icahn Enterprises,352,Financials,no,no,no,,
Rodney O. Martin Jr.,Rodney Martin Jr.,Voya Financial,353,Financials,no,no,no,1952,68
Robert E. Sanchez,Robert Sanchez,Ryder System,354,Transportation,no,no,no,1997,23
Seifi Ghasemi,Seifi Ghasemi,Air Products & Chemicals,355,Chemicals,no,no,no,,
James C. O'Rourke,James O'Rourke,Mosaic,356,Chemicals,no,no,no,1972,48
C. Michael Petters,C. Michael Petters,Huntington Ingalls Industries,357,Aerospace & Defense,no,no,no,1959,61
Thomas E. Salmon,Thomas Salmon,Berry Global Group,358,Materials,no,no,no,,
William A. Galvin,William Galvin,Anixter International,359,Wholesalers,no,no,no,,
Bradley D. Tilden,Bradley Tilden,Alaska Air Group,360,Transportation,no,no,no,1960,60
Joey Wat,Joey Wat,Yum China Holdings,361,"Hotels, Restaurants & Leisure",no,no,yes,1971,49
Lauren R. Hobart,Lauren Hobart,Dick&#8217;s Sporting Goods,362,Retailing,no,no,yes,1970,50
Thomas R. Reeg,Thomas Reeg,Caesars Holdings,363,"Hotels, Restaurants & Leisure",no,no,no,,
Thomas J. McInerney,Thomas McInerney,Genworth Financial,364,Financials,no,no,no,1937,83
Matthew Meloy,Matthew Meloy,Targa Resources,365,Energy,no,no,no,,
Sue Y. Nabi,Sue Nabi,Coty,366,Household Products,no,no,yes,,
James K. Kamsickas,James Kamsickas,Dana,367,Motor Vehicles & Parts,no,no,no,1966,54
Teresa J. Rasmussen,Teresa Rasmussen,Thrivent Financial for Lutherans,368,Financials,no,no,yes,,
Mikael Bratt,Mikael Bratt,Autoliv,369,Motor Vehicles & Parts,no,no,no,,
Tony B. Sarsam,Tony Sarsam,SpartanNash,370,Wholesalers,no,no,no,,
James J. Judge,James Judge,Eversource Energy,371,Energy,no,no,no,1974,46
Eugene I. Lee Jr.,Eugene Lee Jr.,Darden Restaurants,372,"Hotels, Restaurants & Leisure",no,no,no,,
Robert D. Lawler,Robert Lawler,Chesapeake Energy,373,Energy,no,no,no,,
